C_val,acc_subj,std_subj,acc_MR,std_MR
0.01,0.871,0.0107,0.6908,0.015
0.0162,0.8706,0.012,0.6868,0.0164
0.0264,0.8695,0.012,0.694,0.0081
0.0428,0.8703,0.0092,0.6898,0.0165
0.0695,0.8704,0.0089,0.6956,0.0128
0.1129,0.8718,0.0116,0.6959,0.0134
0.1833,0.8718,0.0064,0.6963,0.0101
0.2976,0.8744,0.0077,0.6952,0.0137
0.4833,0.8749,0.0102,0.6907,0.0104
0.7848,0.872,0.0061,0.6965,0.0105
1.2743,0.8779,0.0092,0.6989,0.0092
2.0691,0.8734,0.0074,0.7027,0.0114
3.3598,0.8751,0.0092,0.6917,0.0134
5.4556,0.8751,0.0153,0.6936,0.0153
8.8587,0.8804,0.009,0.69,0.0131
14.3845,0.8791,0.0117,0.6959,0.009
23.3572,0.876,0.0078,0.6916,0.0151
37.9269,0.878,0.0106,0.6931,0.0135
61.5848,0.8774,0.0064,0.6932,0.0186
100.0,0.88,0.0117,0.695,0.0073
